CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
null,04915118,ACCESS TRAINING (WALES) LIMITED,TRUE,null,10/07/2026,10000081,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04170619,TRN (TRAIN) LTD.,TRUE,null,11/03/2026,10000082,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
05/09/2006,04774807,ACCOMPLISH CONSULTANTS LIMITED,FALSE,null,29/07/2005,10000083,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
11/12/2007,02379592,ACCORDIA LIMITED,FALSE,null,16/04/2007,10000084,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
09/11/2010,04737806,ACCORDIA (UK) LTD,FALSE,null,02/11/2007,10000085,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02669360,ACCOUNT3 LTD.,TRUE,Account3,10/07/2026,10000086,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04288631,ACCOUNTANCY LEARNING DISTANCE LEARNING LTD,TRUE,null,05/12/2025,10000087,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/04/2007,03869858,ATB SERVICES LIMITED,FALSE,Accountancy Taxation Business,05/09/2006,10000088,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
14/07/2022,02459986,ACCOUNTING ANSWERS LIMITED,FALSE,null,09/06/2022,10000089,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
17/04/2026,04632062,ACCOUNTING SKILLS TRAINING UK LTD,FALSE,null,18/01/2026,10000090,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
04/08/2019,02285816,ACCOUNTING TECHNICIAN TRAINING SERVICES LIMITED,FALSE,null,01/03/2019,10000091,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
30/01/2018,04583361,ACCOUNTS TRAINING LIMITED,FALSE,null,20/10/2017,10000092,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
19/11/2021,null,ACCRINGTON AND ROSSENDALE COLLEGE,FALSE,null,07/02/2018,10000093,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
02/09/2010,04372277,CONNEXIONS LANCASHIRE LIMITED,FALSE,null,16/12/2009,10000094,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
